                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.5148,                 1.4321,                 1.0102,                0.02703,                0.21429,                0.19115,                0.12566,                 1.3597,                 3.5239,                 1.0978,             0.00015355,             0.00015355,             0.00015355
                     37,                 1.2561,                 1.4796,                0.97125,                0.02913,                0.21429,                0.17829,                0.11613,                 1.3472,                 3.4923,                 1.0874,             0.00014775,             0.00014775,             0.00014775
                     38,                 1.1755,                 1.3185,                0.98944,                0.02913,                0.21429,                0.17829,                0.11613,                 1.3472,                 3.4923,                 1.0874,             0.00014138,             0.00014138,             0.00014138
                     39,                 1.3646,                 1.5724,                0.96539,                0.03535,                   0.25,                0.19827,                0.13179,                  1.293,                  3.412,                 1.0417,             0.00013445,             0.00013445,             0.00013445
                     40,                 1.3221,                 1.4253,                0.97315,                0.03535,                   0.25,                0.19827,                0.13179,                  1.293,                  3.412,                 1.0417,             0.00012696,             0.00012696,             0.00012696
                     41,                 1.2772,                 1.5708,                 0.9561,                   0.05,                0.32143,                0.29002,                0.18886,                 1.2467,                 3.2942,                0.99368,             0.00011889,             0.00011889,             0.00011889
                     42,                 1.1475,                 1.3448,                0.94205,                   0.05,                0.32143,                0.29002,                0.18886,                 1.2467,                 3.2942,                0.99368,             0.00011026,             0.00011026,             0.00011026
                     43,                 1.2104,                 1.5114,                0.98074,                0.04891,                0.32143,                0.32363,                0.22295,                 1.1623,                 3.1981,                0.95243,             0.00010107,             0.00010107,             0.00010107
                     44,                 1.2258,                 1.4461,                 1.0213,                0.04891,                0.32143,                0.32363,                0.22295,                 1.1623,                 3.1981,                0.95243,              9.131e-05,              9.131e-05,              9.131e-05
                     45,                 1.1314,                 1.3771,                0.95912,                0.05495,                0.35714,                0.36213,                0.25437,                 1.1173,                 3.1145,                0.92698,             8.0984e-05,             8.0984e-05,             8.0984e-05
                     46,                 1.1484,                 1.3643,                0.94471,                0.05495,                0.35714,                0.36213,                0.25437,                 1.1173,                 3.1145,                0.92698,             7.0092e-05,             7.0092e-05,             7.0092e-05
                     47,                 1.1949,                 1.5509,                0.96526,                0.05556,                0.35714,                0.36539,                0.26258,                 1.0995,                 3.0308,                0.90911,             5.8635e-05,             5.8635e-05,             5.8635e-05
                     48,                 1.2191,                 1.5216,                 1.0165,                0.05556,                0.35714,                0.36539,                0.26258,                 1.0995,                 3.0308,                0.90911,             4.6611e-05,             4.6611e-05,             4.6611e-05
                     49,                 1.2346,                 1.4201,                 1.0444,                      1,                0.20959,                0.38242,                0.26883,                 1.0868,                   2.95,                0.90367,             3.4022e-05,             3.4022e-05,             3.4022e-05
                     50,                 1.2189,                  1.504,                0.97406,                      1,                0.20959,                0.38242,                0.26883,                 1.0868,                   2.95,                0.90367,             2.0866e-05,             2.0866e-05,             2.0866e-05
