epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0089,2.43548,4.65949,1.93061,0,0,0,0,2.07228,4.70065,1.86055,0,0,0
2,16.6632,2.57735,4.6291,2.04614,0,0,0,0,2.03175,4.7004,1.83682,1.14606e-05,1.14606e-05,1.14606e-05
3,21.3377,2.58811,4.69257,2.03972,0,0,0,0,1.99338,4.71973,1.80758,1.72623e-05,1.72623e-05,1.72623e-05
4,25.3533,2.22648,4.5646,1.91348,0,0,0,0,1.97269,4.70945,1.78941,1.74052e-05,1.74052e-05,1.74052e-05
5,29.6755,2.54369,4.58777,1.98102,0,0,0,0,1.96121,4.6863,1.78029,1.18893e-05,1.18893e-05,1.18893e-05
