identificatie;b3_bag_bag_overlap;b3_bouwlagen;b3_dak_type;b3_extrusie;b3_h_dak_50p;b3_h_dak_70p;b3_h_dak_max;b3_h_dak_min;b3_h_maaiveld;b3_is_glas_dak;b3_kas_warenhuis;b3_mutatie_AHN3_AHN4;b3_mutatie_AHN4_AHN5;b3_n_vlakken;b3_nodata_fractie_AHN3;b3_nodata_fractie_AHN4;b3_nodata_fractie_AHN5;b3_nodata_radius_AHN3;b3_nodata_radius_AHN4;b3_nodata_radius_AHN5;b3_opp_buitenmuur;b3_opp_dak_plat;b3_opp_dak_schuin;b3_opp_grond;b3_opp_scheidingsmuur;b3_puntdichtheid_AHN3;b3_puntdichtheid_AHN4;b3_puntdichtheid_AHN5;b3_pw_bron;b3_pw_datum;b3_pw_onvoldoende;b3_pw_selectie_reden;b3_rmse_lod12;b3_rmse_lod13;b3_rmse_lod22;b3_succes;b3_t_run;b3_val3dity_lod12;b3_val3dity_lod13;b3_val3dity_lod22;b3_volume_lod12;b3_volume_lod13;b3_volume_lod22;begingeldigheid;documentdatum;documentnummer;eindgeldigheid;eindregistratie;fid;geconstateerd;oorspronkelijkbouwjaar;rf_force_lod11;status;tijdstipeindregistratielv;tijdstipinactief;tijdstipinactieflv;tijdstipnietbaglv;tijdstipregistratie;tijdstipregistratielv;voorkomenidentificatie;Registratiedatum;Opnamedatum;GeldigTot;Certificaathouder;SoortOpname;Status;Berekeningstype;OpBasisVanReferentiegebouw;Gebouwklasse;Gebouwtype;Gebouwsubtype;SBICode;Postcode;Huisnummer;Huisletter;Huisnummertoevoeging;Detailaanduiding;BAGVerblijfsobjectID;BAGLigplaatsID;BAGStandplaatsID;Projectnaam;Projectobject;Bouwjaar;GebruiksoppervlakteThermischeZone;Compactheid;Energieklasse;EnergieIndex;EnergieIndexEMGForfaitair;Energiebehoefte;PrimaireFossieleEnergie;PrimaireFossieleEnergieEMGForfaitair;AandeelHernieuwbareEnergie;AandeelHernieuwbareEnergieEMGForfaitair;Temperatuuroverschrijding;Warmtebehoefte;EisEnergiebehoefte;EisPrimaireFossieleEnergie;EisAandeelHernieuwbareEnergie;EisTemperatuuroverschrijding;BerekendeCO2Emissie;BerekendeEnergieverbruik,,,,,,,,,,,,,,
0153100000231035;0.0;3.0;slanted;0.0;39.946998596191406;41.1870002746582;43.11600112915039;36.73400115966797;33.882999420166016;False;False;False;False;3.0;0.0;0.0042553190141916275;1.0;0.2641378343105316;0.3237404227256775;2.363924264907837;129.74;2.4;99.21;58.8;117.3;9.174468040466309;15.076923370361328;0.0;AHN4;2021.0;False;PREFERRED_AND_LATEST;2.144287109375;2.144287109375;0.17225952446460724;True;35.0;[];[];[302];432.0043640136719;432.0043640136719;362.81182861328125;2010-03-17;2010-03-17;1000007208;;;2433615.0;False;1917.0;False;Pand in gebruik;;;;;2010-11-15T17:51:39Z;2010-11-16T10:10:55Z;1.0;20240606;20240408;20340408;EnerDeCo BV;Basisopname;Bestaand;NTA 8800:2023 (basisopname woningbouw);Nee;W;Twee-onder-één-kap;;;7545TP;47;;;;153010000315107.0;;;;;1922;80,64;2,31;C;;;132,18;212,14;212,14;0,0;;2,39;132,00;;;;;38,86;211,89,,,,
0153100000234186;0.0;3.0;slanted;0.0;41.18199920654297;42.262001037597656;44.13999938964844;38.14799880981445;35.39899826049805;False;False;False;False;9.0;0.02575107291340828;0.0;1.0;0.5410733222961426;0.3406835198402405;3.991976737976074;222.86;58.16;68.21;116.34;80.99;7.770925045013428;28.188840866088867;0.0;AHN4;2021.0;False;PREFERRED_AND_LATEST;2.9153499603271484;1.1095572710037231;0.6320992112159729;True;129.0;[];[];[];794.923828125;646.252197265625;599.5607299804688;2010-12-06;2010-12-06;1100093819;;;2438010.0;False;1950.0;False;Pand in gebruik;;;;;2011-08-25T08:42:32Z;2011-08-25T09:01:23Z;2.0;20240709;20240704;20340704;BuildingLabel B.V.;Basisopname;Bestaand;NTA 8800:2024 (basisopname woningbouw);Nee;W;Twee-onder-één-kap;;;7513DZ;210;;;;153010000442037.0;;;;;1950;159,42;2,06;C;;;157,25;237,19;;0,0;;2,05;158,58;;;;;43,65;237,18,,,,,
0153100000235808;0.0;3.0;slanted;0.0;39.9630012512207;41.25899887084961;43.165000915527344;37.018001556396484;33.875999450683594;False;False;False;False;3.0;0.03478260710835457;0.0;1.0;0.45936211943626404;0.30970099568367004;2.3177812099456787;129.39;3.06;79.83;56.2;119.7;8.414414405822754;15.408695220947266;0.0;AHN4;2021.0;False;PREFERRED_AND_LATEST;2.106487274169922;2.106487274169922;0.2921591103076935;True;34.0;[];[];[];417.5967102050781;417.5967102050781;356.0555725097656;2010-03-17;2010-03-17;1000007208;;;2440674.0;False;1918.0;False;Pand in gebruik;;;;;2010-11-15T17:43:19Z;2010-11-16T10:10:18Z;1.0;20240606;20240418;20340418;EnerDeCo BV;Basisopname;Bestaand;NTA 8800:2023 (basisopname woningbouw);Nee;W;Twee-onder-één-kap;;;7545SM;4;;;;153010000423741.0;;;;;1922;81,15;2,28;B;;;130,15;185,48;185,48;0,0;;1,72;130,00;;;;;33,99;185,24,,,,
0153100000236945;0.0;3.0;slanted;0.0;39.659000396728516;40.492000579833984;41.698001861572266;36.70600128173828;33.650001525878906;False;False;False;False;6.0;0.015789473429322243;0.005263158120214939;1.0;0.3449069559574127;0.318440705537796;2.5706963539123535;96.82;0.0;68.6;47.13;56.26;8.213903427124023;15.11111068725586;0.0;AHN4;2021.0;False;PREFERRED_AND_LATEST;1.805908203125;1.805908203125;0.1366768479347229;True;34.0;[];[];[];322.39031982421875;322.39031982421875;271.8349914550781;2010-03-17;2010-03-17;1000007208;;;2442552.0;False;1917.0;False;Pand in gebruik;;;;;2010-11-15T17:41:15Z;2010-11-16T10:10:07Z;1.0;20240618;20240618;20340618;EnerDeCo BV;Basisopname;Bestaand;NTA 8800:2023 (basisopname woningbouw);Nee;W;Rijwoning hoek;;;7545TM;31;;;;153010000383563.0;;;;;1918;67,66;2,33;C;;;123,61;193,19;193,19;0,0;;1,20;118,65;;;;;35,53;192,16,,,,
0153100000238444;0.0;3.0;slanted;0.0;41.30500030517578;42.132999420166016;43.507999420166016;37.59600067138672;34.79100036621094;False;False;False;False;5.0;0.015306122601032257;0.030612245202064514;1.0;0.3627338409423828;0.4269733428955078;2.8995299339294434;74.36;0.0;67.42;48.9;102.16;13.968912124633789;13.957894325256348;0.0;AHN4;2021.0;False;PREFERRED_AND_LATEST;1.748663067817688;1.4014877080917358;0.46165671944618225;True;39.0;[];[];[];356.2895202636719;346.1088562011719;309.0690612792969;2010-03-17;2010-03-17;1000007208;;;2444647.0;False;1950.0;False;Pand in gebruik;;;;;2010-11-15T17:38:20Z;2010-11-16T10:09:55Z;1.0;20240207;20240203;20340203;EP Certificatie B.V.;Basisopname;Bestaand;NTA 8800:2023 (basisopname woningbouw);Nee;W;Rijwoning tussen;;;7513ZT;60;;;;153010000350273.0;;;;;1950;85,72;1,74;D;;;174,09;263,18;263,18;0,0;;0,79;176,00;;;;;48,46;261,40,,,,
0153100000239402;0.0;3.0;multiple horizontal;0.0;44.14799880981445;44.316001892089844;44.55400085449219;38.0989990234375;35.16899871826172;False;False;False;False;5.0;0.03589743748307228;0.007692307699471712;1.0;0.6021185517311096;0.5626788139343262;3.645195960998535;368.84;99.88;2.11;98.43;30.48;9.319149017333984;29.343669891357422;0.0;AHN4;2021.0;False;_HIGHEST_YET_INSUFFICIENT_COVERAGE;3.4365222454071045;1.9780104160308838;1.3950103521347046;True;99.0;[];[];[];899.8192138671875;774.5654907226562;687.9422607421875;2002-09-17;2002-09-17;20022738;;;2445993.0;False;2003.0;False;Pand in gebruik;;;;;2010-11-15T17:36:40Z;2010-11-16T10:09:47Z;1.0;20240530;20240529;20340529;BuildingLabel B.V.;Basisopname;Bestaand;NTA 8800:2023 (basisopname woningbouw);Nee;W;Vrijstaande woning;;;7513KA;28;;;;153010000394533.0;;;;;2003;164,59;2,52;A;;;115,06;128,72;128,72;17,9;;2,86;93,07;;;;;22,96;151,78,,,,
0153100000243568;0.0;3.0;slanted;0.0;40.91999816894531;41.553001403808594;42.814998626708984;37.89400100708008;34.87300109863281;False;False;False;False;8.0;0.0;0.01550387591123581;1.0;0.3101765215396881;0.5163189172744751;2.536942720413208;138.79;11.53;80.75;63.23;86.91;15.658914566040039;17.00787353515625;0.0;AHN3;2019.0;False;PREFERRED_AND_LATEST;2.1047961711883545;1.6163280010223389;0.6906230449676514;True;135.0;[];[];[];418.9581604003906;394.7574157714844;360.4006042480469;2005-06-29;2005-06-29;20051611;;;2452539.0;False;1922.0;False;Pand in gebruik;;;;;2010-11-15T17:29:02Z;2010-11-16T10:09:22Z;1.0;20210224;20210122;20310122;EnerDeCo BV;Basisopname;Bestaand;NTA 8800:2020 (basisopname woningbouw);Nee;W;Rijwoning hoek;;;7513ZS;34;;;;153010000404247.0;;;;;1922;70,11;2,34;C;;;138,99;218,37;218,37;0,0;0,0;0,00;131,92;;;;;40,11;217,48,,,
0153100000245419;0.0;3.0;slanted;0.0;40.87900161743164;42.14500045776367;44.16899871826172;37.7400016784668;35.04800033569336;False;False;False;False;3.0;0.0;0.004385964944958687;1.0;0.3547874689102173;0.3894292116165161;2.2849581241607666;109.45;0.0;86.29;57.0;117.14;14.0;18.484580993652344;0.0;AHN4;2021.0;False;PREFERRED_AND_LATEST;2.5393314361572266;2.5393314361572266;0.6715887784957886;True;54.0;[];[];[];402.2575378417969;402.2575378417969;331.5654602050781;2010-03-17;2010-03-17;1000007208;;;2455115.0;False;1922.0;False;Pand in gebruik;;;;;2010-11-15T17:25:50Z;2010-11-16T10:09:10Z;1.0;20240306;20240228;20340228;EnergyLab;Basisopname;Bestaand;NTA 8800:2023 (basisopname woningbouw);Nee;W;Twee-onder-één-kap;;;7513CJ;46;;;;153010000373209.0;;;;;1922;90,96;2,26;E;;;210,58;298,63;298,63;0,0;;0,00;219,00;;;;;54,71;298,26,,,,
0153100000248296;0.0;3.0;slanted;0.0;39.768001556396484;40.54899978637695;42.349998474121094;36.564998626708984;33.53200149536133;False;False;False;False;5.0;0.005025125574320555;0.0;1.0;0.3808842599391937;0.31529074907302856;2.4699690341949463;102.91;10.04;62.03;48.97;60.48;7.474747657775879;15.738693237304688;0.0;AHN4;2021.0;False;PREFERRED_AND_LATEST;2.1463253498077393;1.196301817893982;0.34607014060020447;True;37.0;[];[];[];346.0162048339844;321.1388244628906;285.9501647949219;2010-03-17;2010-03-17;1000007208;;;2459866.0;False;1916.0;False;Pand in gebruik;;;;;2010-11-15T17:20:19Z;2010-11-16T10:08:52Z;1.0;20240606;20240405;20340405;EnerDeCo BV;Basisopname;Bestaand;NTA 8800:2023 (basisopname woningbouw);Nee;W;Rijwoning hoek;;;7545VC;109;;;;153010000360389.0;;;;;1916;69,85;2,30;C;;;135,47;236,34;236,34;0,0;;2,16;125,00;;;;;43,41;235,36,,,,
0153100000248433;0.0;3.0;slanted;0.0;42.16600036621094;43.5890007019043;44.59600067138672;35.65299987792969;35.54999923706055;False;False;False;False;6.0;0.023391813039779663;0.0;1.0;0.34920135140419006;0.38409608602523804;2.8681201934814453;181.64;48.62;49.39;85.01;87.99;8.095808029174805;23.988304138183594;0.0;AHN4;2021.0;False;PREFERRED_AND_LATEST;2.7791624069213867;1.9155850410461426;1.066819190979004;True;208.0;[];[];[];665.2261962890625;609.6439819335938;532.1966552734375;2010-03-17;2010-03-17;1000007208;;;2460057.0;False;1949.0;False;Pand in gebruik;;;;;2010-11-15T17:20:04Z;2010-11-16T10:08:51Z;1.0;20240806;20240529;20340529;1energielabel Koepel B.V.;Basisopname;Bestaand;NTA 8800:2024 (basisopname woningbouw);Nee;W;Appartement;Hoekdak;;7513DL;58;A;;;153010000421335.0;;;;;1949;84,03;1,84;A;;;81,49;137,51;;0,0;;2,20;85,66;;;;;25,19;137,50,,,,,
