                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.5034,                  1.463,                0.99947,                0.07018,                0.88889,                0.77262,                0.49594,                  1.036,                 3.2535,                0.92738,             0.00015355,             0.00015355,             0.00015355
                     37,                 1.2414,                 1.5004,                0.95577,                0.06838,                0.88889,                0.79804,                0.56777,                  1.014,                 3.1647,                0.90467,             0.00014775,             0.00014775,             0.00014775
                     38,                 1.1371,                 1.2554,                0.96595,                0.06838,                0.88889,                0.79804,                0.56777,                  1.014,                 3.1647,                0.90467,             0.00014138,             0.00014138,             0.00014138
                     39,                 1.3615,                 1.5384,                0.96297,                0.07018,                0.88889,                0.81901,                0.61547,                0.96631,                 3.0788,                0.87863,             0.00013445,             0.00013445,             0.00013445
                     40,                 1.3025,                 1.3922,                0.96365,                0.07018,                0.88889,                0.81901,                0.61547,                0.96631,                 3.0788,                0.87863,             0.00012696,             0.00012696,             0.00012696
                     41,                 1.2946,                 1.4746,                0.95369,                0.07477,                0.88889,                0.87722,                0.66217,                0.93649,                 3.0087,                0.86803,             0.00011889,             0.00011889,             0.00011889
                     42,                 1.1343,                 1.3784,                0.93836,                0.07477,                0.88889,                0.87722,                0.66217,                0.93649,                 3.0087,                0.86803,             0.00011026,             0.00011026,             0.00011026
                     43,                  1.235,                 1.4968,                 0.9922,                0.07921,                0.88889,                0.86526,                0.63872,                0.93981,                 2.9214,                0.86506,             0.00010107,             0.00010107,             0.00010107
                     44,                 1.2584,                 1.4437,                 1.0274,                0.07921,                0.88889,                0.86526,                0.63872,                0.93981,                 2.9214,                0.86506,              9.131e-05,              9.131e-05,              9.131e-05
                     45,                  1.181,                 1.3412,                0.97518,                0.09375,                      1,                0.89149,                0.65706,                0.93505,                 2.8413,                0.86747,             8.0984e-05,             8.0984e-05,             8.0984e-05
                     46,                 1.1351,                 1.3281,                0.92538,                0.09375,                      1,                0.89149,                0.65706,                0.93505,                 2.8413,                0.86747,             7.0092e-05,             7.0092e-05,             7.0092e-05
                     47,                 1.2134,                 1.5372,                0.97661,                0.09574,                      1,                  0.962,                0.70821,                0.91991,                 2.7669,                0.86643,             5.8635e-05,             5.8635e-05,             5.8635e-05
                     48,                 1.1885,                 1.5185,                 1.0186,                0.09574,                      1,                  0.962,                0.70821,                0.91991,                 2.7669,                0.86643,             4.6611e-05,             4.6611e-05,             4.6611e-05
                     49,                 1.2192,                 1.3711,                 1.0322,                0.89279,                0.92787,                  0.962,                0.71257,                0.91134,                 2.6979,                 0.8613,             3.4022e-05,             3.4022e-05,             3.4022e-05
                     50,                 1.2023,                 1.4478,                0.97111,                0.89279,                0.92787,                  0.962,                0.71257,                0.91134,                 2.6979,                 0.8613,             2.0866e-05,             2.0866e-05,             2.0866e-05
