pid,vid
0153100000237704,0153010000382599
0153100000288045,0153010000418869
0153100000202402,0153010000297589
0153100000203845,0153010000412189
0153100000206354,0153010000406917
0153100000240259,0153010000451031
0153100000499342,0153010000499472
0153100000271175,0153010000413123
0153100000251981,0153010000306317
0153100000223907,0153010000441985
0153100000215733,0153010000463051
0153100000272020,0153010000490839
0153100000470156,0153010000470157
0153100000254244,0153010000342991
0153100000260800,0153010000454437
0153100000291329,0153010000353127
0153100000202110,0153010000322253
0153100000232200,0153010000310469
0153100000214828,0153010000364373
0153100000248351,0153010000323529
0153100000235383,0153010000323875
0153100000204805,0153010000378687
0153100000244687,0153010000436315
0153100000513111,0153010000513113
0153100000256300,0153010000385639
0153100000267808,0153010000441435
0153100000235482,0153010000427665
0153100000244172,0153010000458353
0153100000206525,0153010000391421
0153100000244591,0153010000458561
0153100000258349,0153010000466208
0153100000251637,0153010000423719
0153100000238694,0153010000354051
0153100000234161,0153010000381337
0153100000272020,0153010000490920
0153100000284933,0153010000389237
0153100000291966,0153010000336543
0153100000235507,0153010000336923
0153100000225948,0153010000451863
0153100000258500,0153010000401835
0153100000294207,0153010000390067
0153100000254798,0153010000457509
0153100000226828,0153010000402089
0153100000272066,0153010000437941
0153100000228193,0153010000310581
0153100000292941,0153010000439681
0153100000242455,0153010000302313
0153100000277131,0153010000451237
0153100000269711,0153010000305309
0153100000291784,0153010000421399
0153100000266085,0153010000460385
0153100000240659,0153010000308903
0153100000490084,0153010000490086
0153100000231509,0153010000357625
0153100000239201,0153010000385363
0153100000218988,0153010000398007
0153100000505113,0153010000505115
0153100000284876,0153010000441199
0153100000269429,0153010000442833
0153100000231244,0153010000424543
0153100000283661,0153010000443633
0153100000259533,0153010000417987
0153100000231552,0153010000457577
0153100000264401,0153010000393817
0153100000215046,0153010000493411
0153100000219675,0153010000436863
0153100000272020,0153010000505812
0153100000216219,0153010000419315
0153100000253913,0153010000382021
0153100000238815,0153010000503362
0153100000491619,0153010000491621
0153100000238044,0153010000460511
0153100000203152,0153010000452117
0153100000470664,0153010000470691
0153100000203227,0153010000438307
0153100000223600,0153010000376247
0153100000292090,0153010000303051
0153100000246633,0153010000308017
0153100000279113,0153010000356595
0153100000246212,0153010000347737
0153100000269198,0153010000494379
0153100000209588,0153010000321965
0153100000509435,0153010000509437
0153100000276896,0153010000343455
0153100000205495,0153010000435035
0153100000230786,0153010000305443
0153100000281296,0153010000316299
0153100000292721,0153010000410475
0153100000290822,0153010000330133
0153100000477544,0153010000477554
0153100000267390,0153010000324423
0153100000291115,0153010000352553
0153100000275063,0153010000316199
0153100000244447,0153010000411739
0153100000206252,0153010000506575
0153100000275244,0153010000452339
0153100000287703,0153010000404003
0153100000223909,0153010000369721
0153100000232059,0153010000450991
0153100000232736,0153010000361347
0153100000238103,0153010000423167
0153100000495418,0153010000495420
0153100000212379,0153010000375671
0153100000491694,0153010000491696
0153100000238700,0153010000459251
0153100000471605,0153010000471606
0153100000247918,0153010000302321
0153100000478254,0153010000478379
0153100000266286,0153010000314811
0153100000256228,0153010000313061
0153100000255783,0153010000440069
0153100000272170,0153010000455165
0153100000264007,0153010000346065
0153100000266346,0153010000433607
0153100000509337,0153010000509339
0153100000269408,0153010000301397
0153100000260011,0153010000313935
0153100000227084,0153010000458685
0153100000247479,0153010000339331
0153100000286227,0153010000342735
0153100000242924,0153010000396093
,0153010000511986
0153100000261177,0153010000511679
0153100000285784,0153010000443823
0153100000220496,0153010000378875
0153100000285651,0153010000397767
0153100000233825,0153010000363109
0153100000506333,0153010000506373
0153100000203242,0153010000302891
0153100000507498,0153010000507520
0153100000285618,0153010000326189
0153100000260303,0153010000397643
0153100000245211,0153010000393407
0153100000236093,0153010000442049
0153100000202180,0153010000363087
0153100000204777,0153010000327733
0153100000280828,0153010000416673
0153100000241860,0153010000365575
0153100000499342,0153010000499370
0153100000227061,0153010000392825
0153100000233364,0153010000301687
0153100000271482,0153010000350775
0153100000288627,0153010000370897
0153100000471581,0153010000471625
0153100000240724,0153010000328947
0153100000257537,0153010000303975
0153100000228763,0153010000446813
0153100000508075,0153010000508077
0153100000216219,0153010000307135
0153100000242342,0153010000400185
0153100000248405,0153010000341539
0153100000247067,0153010000351211
0153100000246043,0153010000427171
0153100000253781,0153010000374629
0153100000262211,0153010000310339
0153100000238815,0153010000503344
0153100000257903,0153010000370031
0153100000265015,0153010000377635
0153100000494172,0153010000494192
0153100000239662,0153010000315111
0153100000214958,0153010000366405
0153100000243034,0153010000394875
0153100000227672,0153010000408057
0153100000283216,0153010000366193
0153100000289682,0153010000431525
0153100000208340,0153010000475662
0153100000269309,0153010000491551
0153100000242760,0153010000400089
0153100000214727,0153010000438793
0153100000253815,0153010000493061
0153100000245753,0153010000331007
0153100000286799,0153010000408911
0153100000260842,0153010000463307
0153100000214946,0153010000319279
0153100000291878,0153010000417089
0153100000259071,0153010000306137
0153100000234826,0153010000385971
0153100000256083,0153010000316491
0153100000469790,0153010000469797
0153100000213515,0153010000332899
0153100000286271,0153010000383521
0153100000250510,0153010000318169
0153100000243721,0153010000312421
0153100000233310,0153010000340937
0153100000288152,0153010000417367
0153100000291054,0153010000493542
0153100000246653,0153010000386913
0153100000283057,0153010000314863
0153100000236242,0153010000441153
0153100000263590,0153010000475022
0153100000269240,0153010000325325
0153100000201902,0153010000460021
0153100000204197,0153010000300569
0153100000212995,0153010000355271
0153100000272075,0153010000388307
0153100000277673,0153010000368791
0153100000262064,0153010000356841
0153100000281015,0153010000318141
0153100000231524,0153010000349611
0153100000229668,0153010000321209
0153100000219384,0153010000403191
0153100000235013,0153010000375371
0153100000252047,0153010000448921
0153100000204731,0153010000389261
0153100000207552,0153010000493764
0153100000293594,0153010000413533
0153100000213055,0153010000296221
0153100000214240,0153010000346369
0153100000203967,0153010000316287
0153100000242744,0153010000442209
0153100000214958,0153010000401731
0153100000256680,0153010000355737
0153100000212365,0153010000309361
0153100000269801,0153010000303553
0153100000285493,0153010000373253
0153100000239566,0153010000397531
0153100000280447,0153010000368917
0153100000277459,0153010000464103
0153100000236370,0153010000305389
0153100000288519,0153010000312941
0153100000247438,0153010000417653
0153100000206139,0153010000331073
0153100000207444,0153010000338419
0153100000206574,0153010000394833
0153100000236674,0153010000390547
0153100000238720,0153010000414203
0153100000242075,0153010000414103
0153100000283554,0153010000367499
0153100000219921,0153010000315881
0153100000501378,0153010000501380
0153100000508886,0153010000508978
0153100000248353,0153010000311289
0153100000504437,0153010000504439
0153100000267735,0153010000324453
0153100000257125,0153010000365405
0153100000248374,0153010000439635
0153100000292638,0153010000460817
0153100000271043,0153010000346423
0153100000269464,0153010000392187
0153100000236545,0153010000455251
0153100000283606,0153010000367147
0153100000274304,0153010000491248
0153100000203409,0153010000416803
0153100000281859,0153010000316401
0153100000250251,0153010000356581
0153100000235377,0153010000474069
0153100000248461,0153010000303551
0153100000219812,0153010000453317
0153100000278385,0153010000319821
0153100000277002,0153010000450617
0153100000239409,0153010000318427
0153100000244698,0153010000420413
0153100000207320,0153010000338059
0153100000260496,0153010000387653
0153100000273376,0153010000359609
0153100000255777,0153010000395315
0153100000255070,0153010000326785
0153100000281065,0153010000446207
0153100000211294,0153010000350195
0153100000228853,0153010000391313
0153100000222349,0153010000460949
0153100000250803,0153010000437765
0153100000268292,0153010000337511
0153100000291511,0153010000435397
0153100000252982,0153010000402135
0153100000257579,0153010000436697
0153100000255339,0153010000330233
0153100000284817,0153010000411623
0153100000287192,0153010000317881
0153100000212404,0153010000421447
0153100000240042,0153010000399477
0153100000259057,0153010000317365
0153100000222937,0153010000361613
0153100000248199,0153010000294335
0153100000204810,0153010000369821
0153100000259563,0153010000363699
0153100000267784,0153010000381565
0153100000244557,0153010000491390
0153100000280347,0153010000415705
0153100000251302,0153010000494291
0153100000279159,0153010000367377
0153100000234287,0153010000428617
0153100000222127,0153010000409583
0153100000229269,0153010000467676
0153100000252237,0153010000390937
0153100000221426,0153010000313541
0153100000236875,0153010000356051
0153100000223101,0153010000369523
0153100000269167,0153010000327787
0153100000231074,0153010000339739
0153100000257558,0153010000399617
0153100000274144,0153010000341299
0153100000293424,0153010000423057
0153100000291703,0153010000443627
0153100000236817,0153010000435885
0153100000256681,0153010000404451
0153100000285031,0153010000294667
0153100000222055,0153010000409285
0153100000263382,0153010000325085
0153100000283669,0153010000331329
0153100000494701,0153010000494703
0153100000467656,0153010000467657
0153100000288025,0153010000435859
0153100000250343,0153010000385281
0153100000218509,0153010000411879
0153100000242656,0153010000338779
0153100000275937,0153010000459933
0153100000247899,0153010000333123
0153100000234210,0153010000381563
0153100000246658,0153010000321257
0153100000206328,0153010000418301
0153100000237734,0153010000410719
0153100000206182,0153010000513471
0153100000213644,0153010000389081
0153100000215750,0153010000461271
0153100000224605,0153010000495706
0153100000269545,0153010000351139
0153100000242397,0153010000401333
0153100000217166,0153010000382369
,0153010000512476
0153100000213839,0153010000437509
0153100000289545,0153010000304289
0153100000219249,0153010000419917
0153100000494704,0153010000494714
0153100000499342,0153010000499428
0153100000284945,0153010000302033
0153100000285923,0153010000413113
0153100000248405,0153010000461199
0153100000222431,0153010000463077
0153100000248902,0153010000437625
0153100000289075,0153010000351731
0153100000250108,0153010000340675
0153100000241286,0153010000295245
0153100000222777,0153010000443905
0153100000227562,0153010000340617
0153100000240141,0153010000312809
0153100000229543,0153010000495096
0153100000281284,0153010000353619
0153100000272020,0153010000490852
0153100000244510,0153010000458167
0153100000503228,0153010000503230
0153100000287726,0153010000451429
0153100000240205,0153010000404117
0153100000284223,0153010000404365
0153100000240694,0153010000383593
0153100000231020,0153010000455843
0153100000251202,0153010000336713
0153100000213659,0153010000405105
0153100000229096,0153010000392239
0153100000263522,0153010000439973
0153100000268326,0153010000436965
0153100000223540,0153010000392127
0153100000508505,0153010000508509
0153100000225120,0153010000474045
0153100000259057,0153010000443937
0153100000251455,0153010000455537
0153100000219833,0153010000308375
0153100000262299,0153010000428689
0153100000281855,0153010000410971
0153100000220743,0153010000387349
0153100000221971,0153010000330801
0153100000233809,0153010000359489
0153100000235761,0153010000353097
0153100000263482,0153010000450005
0153100000227475,0153010000346261
0153100000272559,0153010000431271
0153100000202678,0153010000414795
0153100000203453,0153010000375475
0153100000212974,0153010000403813
,0153010000514733
0153100000239179,0153010000311271
0153100000252832,0153010000444223
0153100000250457,0153010000317145
0153100000204907,0153010000324945
0153100000286271,0153010000295485
0153100000264015,0153010000306505
0153100000262757,0153010000367645
0153100000249533,0153010000429599
0153100000207554,0153010000405173
0153100000248405,0153010000389429
0153100000223706,0153010000349091
0153100000272020,0153010000490862
0153100000213241,0153010000317373
0153100000260496,0153010000295937
0153100000272797,0153010000493268
0153100000268973,0153010000297823
0153100000280456,0153010000317183
0153100000286684,0153010000294403
0153100000254883,0153010000296597
0153100000254226,0153010000308217
0153100000258967,0153010000372153
0153100000273164,0153010000352429
0153100000240694,0153010000303881
0153100000270723,0153010000294767
0153100000238130,0153010000426443
0153100000282677,0153010000384647
0153100000257537,0153010000438097
0153100000252677,0153010000474835
0153100000477722,0153010000477724
0153100000283258,0153010000351523
0153100000242796,0153010000323253
0153100000277782,0153010000485875
0153100000291769,0153010000367831
0153100000267564,0153010000470033
0153100000283078,0153010000426029
0153100000218919,0153010000392947
0153100000268129,0153010000434227
0153100000231216,0153010000307535
0153100000260345,0153010000393975
0153100000235039,0153010000304303
0153100000205123,0153010000465579
0153100000217698,0153010000400115
,None
0153100000259485,0153010000457717
0153100000247552,0153010000406527
0153100000490996,0153010000490997
0153100000279988,0153010000443785
0153100000237742,0153010000353695
0153100000288806,0153010000421647
0153100000498656,0153010000498680
0153100000283463,0153010000419875
0153100000233825,0153010000440033
0153100000251929,0153010000375075
0153100000213934,0153010000408935
0153100000223719,0153010000307505
0153100000224605,0153010000489208
0153100000204904,0153010000401355
0153100000265392,0153010000453395
0153100000213634,0153010000452361
0153100000492208,0153010000492252
0153100000217106,0153010000341151
0153100000231110,0153010000447527
0153100000471995,0153010000472276
0153100000274371,0153010000454875
0153100000268775,0153010000439397
0153100000226244,0153010000396657
0153100000203008,0153010000299259
0153100000267837,0153010000419895
0153100000278249,0153010000457261
0153100000274857,0153010000408951
0153100000204810,0153010000312717
0153100000270615,0153010000439067
0153100000261410,0153010000383777
0153100000259473,0153010000296925
0153100000471581,0153010000471586
0153100000248113,0153010000495254
0153100000508439,0153010000508445
0153100000267773,0153010000313531
0153100000241325,0153010000318533
0153100000267520,0153010000416333
0153100000260580,0153010000297129
0153100000263453,0153010000492943
0153100000255819,0153010000340719
0153100000507428,0153010000507660
0153100000283816,0153010000402663
0153100000202816,0153010000384527
0153100000217767,0153010000471574
0153100000209690,0153010000393697
0153100000223244,0153010000384149
0153100000507629,0153010000507679
0153100000242075,0153010000310295
0153100000497966,0153010000497976
0153100000289585,0153010000466931
0153100000243123,0153010000443549
0153100000231838,0153010000446945
0153100000242971,0153010000376077
0153100000286545,0153010000415025
0153100000467620,0153010000467621
0153100000217588,0153010000423857
0153100000223644,0153010000361731
0153100000240394,0153010000397477
0153100000246143,0153010000454887
0153100000207717,0153010000306211
0153100000244157,0153010000364947
0153100000289161,0153010000448839
0153100000226680,0153010000400553
0153100000280874,0153010000342091
0153100000208645,0153010000371799
0153100000209325,0153010000416033
0153100000208817,0153010000321169
0153100000251730,0153010000380591
0153100000258823,0153010000295297
0153100000230703,0153010000295023
0153100000266319,0153010000305803
0153100000271351,0153010000409961
0153100000292635,0153010000397459
0153100000217746,0153010000445117
0153100000216494,0153010000370285
0153100000214697,0153010000393799
0153100000496390,0153010000496394
0153100000217285,0153010000319265
0153100000231857,0153010000495914
0153100000468693,0153010000472558
0153100000204528,0153010000387479
0153100000234398,0153010000367415
0153100000248374,0153010000375289
0153100000233293,0153010000316929
0153100000289372,0153010000360295
0153100000240201,0153010000388909
0153100000202776,0153010000405221
0153100000271714,0153010000416775
0153100000229667,0153010000313255
0153100000263147,0153010000315959
0153100000265990,0153010000307837
0153100000203820,0153010000356557
0153100000260395,0153010000460537
0153100000225794,0153010000455637
0153100000226674,0153010000314591
0153100000259947,0153010000456775
0153100000478194,0153010000478212
0153100000212232,0153010000335447
0153100000270456,0153010000404109
0153100000225647,0153010000324375
0153100000222777,0153010000396121
0153100000260573,0153010000427929
0153100000261260,0153010000425065
0153100000231297,0153010000408999
0153100000263479,0153010000442163
0153100000214958,0153010000409021
0153100000476088,0153010000476090
0153100000281703,0153010000461755
0153100000466002,0153010000466049
0153100000238703,0153010000409453
0153100000206165,0153010000355587
0153100000279316,0153010000461121
0153100000282829,0153010000323715
0153100000268625,0153010000349289
0153100000264588,0153010000327225
0153100000215669,0153010000317195
0153100000279546,0153010000357171
0153100000229318,0153010000476688
0153100000246687,0153010000369057
0153100000248406,0153010000381217
0153100000262064,0153010000453363
0153100000291476,0153010000330393
0153100000286632,0153010000492085
0153100000291516,0153010000358041
0153100000238133,0153010000488307
0153100000239519,0153010000311023
0153100000493443,0153010000493445
0153100000227806,0153010000370835
0153100000222140,0153010000344197
0153100000259071,0153010000315563
0153100000265863,0153010000429033
0153100000238210,0153010000390367
0153100000234454,0153010000305553
0153100000266428,0153010000419787
0153100000476731,0153010000476733
0153100000272020,0153010000490825
0153100000253212,0153010000412485
0153100000214817,0153010000356931
0153100000263416,0153010000334355
0153100000283876,0153010000454841
0153100000204055,0153010000495928
0153100000257551,0153010000295315
0153100000219817,0153010000451743
0153100000257221,0153010000460653
0153100000282919,0153010000459453
0153100000261194,0153010000337673
0153100000202540,0153010000395309
0153100000246485,0153010000454531
0153100000203701,0153010000393251
0153100000271165,0153010000370477
0153100000257723,0153010000426917
0153100000283258,0153010000371919
0153100000268108,0153010000353471
0153100000269711,0153010000294311
0153100000233306,0153010000368069
0153100000231268,0153010000385163
0153100000203084,0153010000408711
0153100000465880,0153010000465883
0153100000248180,0153010000305989
0153100000255389,0153010000457769
0153100000216946,0153010000311147
0153100000203245,0153010000423507
0153100000221747,0153010000449187
0153100000203395,0153010000410137
0153100000275227,0153010000327151
0153100000237371,0153010000385831
0153100000282790,0153010000458947
0153100000271726,0153010000402871
0153100000232744,0153010000310367
0153100000258049,0153010000324923
0153100000267590,0153010000420731
0153100000204866,0153010000320663
0153100000236309,0153010000494564
0153100000477326,0153010000477328
0153100000255314,0153010000296575
0153100000246436,0153010000451455
0153100000232162,0153010000408595
0153100000250461,0153010000392855
0153100000274798,0153010000447453
0153100000272020,0153010000497747
0153100000265450,0153010000401043
0153100000238600,0153010000387527
0153100000243866,0153010000394025
0153100000250755,0153010000415737
0153100000280723,0153010000318471
0153100000288534,0153010000386299
0153100000236030,0153010000362281
0153100000243331,0153010000299931
0153100000471995,0153010000472160
0153100000251045,0153010000321107
0153100000285045,0153010000347523
0153100000474930,0153010000474932
0153100000205750,0153010000351785
0153100000288027,0153010000407993
0153100000284967,0153010000360791
0153100000249231,0153010000409573
0153100000202312,0153010000449339
0153100000220864,0153010000340197
0153100000253750,0153010000344225
0153100000243544,0153010000409147
0153100000290158,0153010000361913
0153100000233660,0153010000320829
0153100000256824,0153010000351183
0153100000242691,0153010000436533
0153100000216087,0153010000325871
0153100000251255,0153010000410107
0153100000272415,0153010000417411
0153100000230626,0153010000357377
0153100000219168,0153010000418257
0153100000206065,0153010000459875
0153100000265144,0153010000311951
0153100000254999,0153010000370711
0153100000288686,0153010000415281
0153100000213071,0153010000318453
0153100000238393,0153010000298897
0153100000217568,0153010000502929
0153100000244364,0153010000354067
0153100000265797,0153010000329013
0153100000267965,0153010000295447
0153100000274940,0153010000419723
0153100000277673,0153010000456677
0153100000240694,0153010000421903
0153100000239088,0153010000416901
0153100000217767,0153010000383271
0153100000224605,0153010000489834
0153100000238234,0153010000439429
0153100000277512,0153010000322727
0153100000239055,0153010000400017
0153100000292295,0153010000309735
0153100000226113,0153010000328585
0153100000207667,0153010000303883
0153100000259231,0153010000312745
0153100000204669,0153010000418365
0153100000513708,0153010000513710
0153100000291713,0153010000395157
